User Name									
Avatar Name									
Avatar Tile									
Homepage									
Strength	9	Fatigue		Thrust		Swing			
Intelligence	9	Psi Points							
Dexterity	9								
Health	9	Hits Taken		Base Move					
Encumberance		Amour Defence		Shield Defence		Passive Defence			
Doge		Parry		Block					
Abilities		Skills		Combat Skills		Psi Skills			
Equipment		Cash		Bank		Storage			
Prperties									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
